gene	mean	median	longest_isoform	merged
RP3-395M20.9	1468	1468	1468	1468
FAM213B	2732	2743	2829	2981
MMEL1	2902	2902	2902	2902
TTC34	1775	1775	1775	1775
LOC101929067	1319	1319	1319	1319
ACTRT2	1422	1422	1422	1422
LINC00982	2164	2164	3708	3848
PRDM16	8319	9033	9401	9407
MIR4251	39	39	61	61
ARHGEF16	2532	2879	2904	3101
MEGF6	5420	5445	7439	8798
MIR551A	58	58	96	96
TPRG1L	2428	2428	2428	2428
WRAP73	1591	1559	1699	2190
TP73	4939	4953	5143	5522
TP73-AS1	4889	4690	6409	6455
CCDC27	2174	2174	2174	2174
SMIM1	533	533	547	573
LRRC47	2648	2648	2648	2648
CEP104	4985	4985	6458	6560
DFFB	3111	3114	3179	3229
C1orf174	1798	1798	1931	1962
LINC01134	1952	1952	1952	1952
RP13-614K11.1	568	568	568	568
LOC102724415	52	52	52	52
RP5-1166F10.1	2074	2074	2074	2074
AJAP1	2496	2496	2923	3317
LOC102724429	135	135	135	135
MIR4417	45	45	73	73
LOC100287877	1095	1095	1095	1095
MIR4689	46	46	70	70
NPHP4	4727	4867	7149	7277
KCNAB2	3377	4038	4282	6929
CHD5	9663	9663	9663	9663
RPL22	2085	2085	2085	2085
LOC102724450	447	447	598	598
RNF207	2876	3493	3971	4156
ICMT	3886	3569	4815	4872
LINC00337	1642	1642	1642	1642
HES3	697	697	697	697
GPR153	4082	4082	4082	4082
ACOT7	1553	1491	1805	3176
HES2	4262	4262	4262	4262
ESPN	3505	3505	3531	3570
MIR4252	41	41	63	63
TNFRSF25	1375	1502	1652	1916
PLEKHG5	4767	4720	5273	5996
NOL9	4142	4142	6712	6792
TAS1R1	2414	2414	2795	2795
ZBTB48	1970	2273	2350	2444
KLHL21	3256	3256	4487	4961
PHF13	3670	3670	3670	3670
THAP3	1523	1353	2095	2972
DNAJC11	3293	3293	3293	3293
LOC100505887	389	389	399	485
CAMTA1	3307	1003	8444	10096
LOC100129476	559	559	559	559
LOC101928836	307	263	403	451
VAMP3	2205	2205	2205	2205
PER3	6160	6198	6244	6415
UTS2	602	602	634	755
TNFRSF9	3578	3578	5993	6244
PARK7	948	961	981	1121
ERRFI1	3069	3114	3129	3162
LOC102724539	481	481	481	481
SLC45A1	2450	2450	2499	2501
RERE	7341	7625	8194	9186
LOC102724552	1874	1874	2118	2331
ENO1	2184	2187	2550	3253
MIR6728	44	23	89	89
ENO1-AS1	447	447	447	447
CA6	1147	1113	1368	1466
SLC2A7	1539	1539	1539	1539
SLC2A5	2053	2247	2438	3032
GPR157	1701	1898	2054	2160
MIR34A	51	22	110	110
LOC102724571	1074	982	1321	1727
H6PD	9266	9254	9475	9982
SPSB1	3118	3118	3118	3118
LOC100506022	2363	2363	2363	2438
SLC25A33	1308	1308	1461	1537
TMEM201	3458	3777	3907	6601
PIK3CD	5242	5222	5411	5879
C1orf200	1823	1823	1823	1823
LOC101929074	526	526	526	526
CLSTN1	4984	5162	5192	5192
CTNNBIP1	3063	2995	3234	3268
LZIC	1340	1205	1932	2235
NMNAT1	2145	1833	3781	4400
MIR5697	50	50	78	78
LOC102724647	52	52	52	52
RBP7	655	655	655	655
UBE4B	5743	5857	5880	6033
KIF1B	9122	9122	10581	16016
MIR1273D	55	55	86	86
PGD	1937	1937	1937	1937
APITD1-CORT	1359	1349	1496	2151
APITD1	1337	1337	1431	1898
CORT	1231	1231	1231	1231
DFFA	2730	2730	3408	3408
PEX14	1950	1950	1976	2116
CASZ1	5894	5588	7964	8838
C1orf127	2712	2712	2761	2793
TARDBP	4217	4217	4217	4217
MASP2	1593	1593	2455	2611
SRM	1273	1273	1273	1273
EXOSC10	2892	2808	4448	4463
MTOR	8235	8419	8754	8775
MTOR-AS1	706	706	706	706
ANGPTL7	2290	2290	2290	2290
UBIAD1	3041	3041	3654	5130
PTCHD2	5214	5214	5214	5214
RP1-69M21.2	1285	1285	1285	1285
FBXO2	1576	1576	1715	1762
FBXO44	2109	1949	3320	3527
FBXO6	1327	1295	1551	1920
MAD2L2	1188	1152	1293	1678
DRAXIN	1773	1773	1773	1773
AGTRAP	1202	1183	1280	1280
C1orf167	4679	4648	4795	5108
LOC102724659	1868	1868	1868	1868
MTHFR	6645	6619	7150	8761
CLCN6	5670	5682	5698	5708
NPPA-AS1	1662	1662	1662	1662
NPPA	855	855	855	855
NPPB	698	698	698	698
RNU5E-1	119	119	119	119
KIAA2013	2614	2614	2823	3155
PLOD1	3031	3031	3031	3031
MFN2	4616	4622	4702	4905
MIIP	1639	1639	1801	1976
MIR6729	36	22	65	65
TNFRSF8	3541	3595	3686	3686
MIR7846	58	58	96	96
TNFRSF1B	3675	3675	3675	3675
MIR4632	35	23	61	61
VPS13D	16293	16293	16331	16331
SNORA59A	152	152	152	152
DHRS3	1582	1584	1993	2595
MIR6730	37	23	67	67
AADACL4	1520	1520	1575	1634
AADACL3	3976	4049	4049	4049
C1orf158	1019	1019	1019	1019
PRAMEF12	1779	1779	1779	1779
PRAMEF1	2160	2160	2160	2160
PRAMEF11	1839	1839	1840	1860
HNRNPCL1	1108	1108	1108	1108
PRAMEF2	1642	1642	1642	1642
PRAMEF4	1840	1840	1840	1840
PRAMEF10	1518	1518	1518	1518
PRAMEF7	1558	1558	1558	1558
PRAMEF6	1720	1720	1720	1720
LOC102724742	800	800	800	800
LOC101929983	1437	1437	1437	1437
LOC649330	1000	1000	1000	1000
PRAMEF25	1437	1437	1437	1437
HNRNPCP5	1156	1156	1156	1156
PRAMEF26	1437	1437	1437	1437
LOC101060301	928	928	928	928
PRAMEF9	1863	1863	1863	1863
PRAMEF13	2163	2163	2163	2163
PRAMEF18	2125	2125	2125	2125
PRAMEF5	1855	1855	1855	1855
PRAMEF8	1558	1558	1558	1558
PRAMEF15	1862	1862	1862	1862
PRAMEF19	2123	2123	2123	2123
PRAMEF17	1578	1578	1578	1578
PRAMEF20	1597	1597	1597	1597
LOC102724825	51	52	55	84
LRRC38	1376	1376	1908	1968
LOC102724856	541	541	699	736
PDPN	2685	2636	2812	3055
PRDM2	6667	6777	7957	10115
KAZN	4209	3842	6511	10128
TMEM51-AS1	6979	6979	6979	6979
TMEM51	1902	1927	2016	2269
C1orf195	434	434	453	719
FHAD1	5304	5339	5471	5479
LOC101927417	1058	1058	1071	1071
LOC101927441	270	270	312	368
EFHD2	2342	2342	2419	2419
CTRC	899	899	899	899
CELA2A	920	920	920	920
CELA2B	923	923	923	923
CASP9	3005	2898	4610	5017
DNAJC16	6084	6069	6299	6299
AGMAT	3154	3154	3154	3154
DDI2	2680	2680	2680	2680
RSC1A1	1854	1854	1854	1854
PLEKHM2	3922	4122	4257	4461
SLC25A34	2937	2937	3070	3158
TMEM82	1265	1265	1265	1265
LOC102724910	80	80	82	105
FBLIM1	2371	1956	3545	4454
UQCRHL	538	538	538	538
FLJ37453	2732	2732	2732	2732
SPEN	12227	12227	12227	12227
ZBTB17	2688	2730	2772	2794
LOC101928566	915	915	915	915
C1orf64	917	917	917	917
HSPB7	2892	2892	2892	2892
CLCNKA	2492	2533	2536	2536
CLCNKB	2468	2605	2626	2984
FAM131C	1604	1604	1701	1719
EPHA2	3903	3883	3964	4123
LOC101927479	886	886	886	886
ARHGEF19	3029	3029	3029	3029
LOC101927546	1286	1286	1286	1286
RSG1	1560	1560	1560	1560
FBXO42	4554	4554	6132	6331
SZRD1	3638	3668	3766	3766
SPATA21	2547	2015	3692	4100
NECAP2	2030	2006	2082	2082
CROCCP3	5368	5368	5368	5368
RNU1-1	164	164	164	164
TRNAN-GUU	74	74	74	74
LOC101060085	660	660	660	660
TRNAE-UUC	72	72	72	72
LOC102724970	554	554	554	554
FAM231B	638	638	638	638
TRNAG1	71	71	71	71
NBPF1	5891	5891	5891	5891
CROCCP2	1765	1765	1765	1765
LOC101927663	259	268	285	358
MST1P2	2636	2636	2636	2636
LOC102723343	168	168	168	168
RNU1-3	164	164	164	164
FAM231A	510	510	510	510
TRNAG-CCC	71	71	71	71
ESPNP	2015	2015	2015	2015
TRNAG10	71	71	71	71
LOC102723383	510	510	510	510
RNU1-4	164	164	164	164
MST1L	4668	4668	4668	4668
MIR3675	39	23	73	73
TRNAG28	71	71	71	71
LOC101927806	1314	1314	1314	1314
TRNAE1	72	72	72	72
TRNAN18	74	74	74	74
TRNAN2	74	74	74	74
RNU1-2	164	164	164	164
CROCC	6257	6436	6656	6866
MFAP2	1092	1092	1103	1176
ATP13A2	3849	3852	3996	4040
SDHB	1153	1153	1153	1153
PADI2	4363	4363	4363	4363
LOC400743	573	573	573	573
PADI1	3847	3847	3847	3847
PADI3	3129	3129	3189	3202
MIR3972	54	54	87	87
PADI4	2265	2265	2265	2265
PADI6	2346	2346	2346	2346
RCC2	4037	4037	4122	4163
LOC102723454	51	51	51	51
ARHGEF10L	3990	4333	4535	5323
ACTL8	1861	1861	1861	1861
RP11-174G17.2	2471	2471	2471	2471
IGSF21	1944	1944	1944	1944
KLHDC7A	5070	5070	5070	5070
PAX7	3047	2257	6053	6313
TAS1R2	2521	2521	2521	2521
ALDH4A1	2998	3243	3383	3581
MIR4695	39	22	74	74
MIR1290	48	48	78	78
IFFO2	5835	5835	5835	5835
UBR4	15999	16005	16064	16068
LOC101927895	635	635	635	635
EMC1	5851	6636	6671	6680
MRTO4	2120	2120	2273	2658
AKR7L	2215	2215	2314	2314
AKR7A3	1241	1241	1241	1241
LOC100506730	2490	2490	2490	2490
AKR7A2	2619	2619	2619	2619
PQLC2	1847	1668	2719	3507
CAPZB	1945	1892	2199	2991
LOC644083	2324	2324	2324	2324
MINOS1	3817	3805	3967	4231
MINOS1-NBL1	2117	2117	2210	2210
RPS14P3	838	838	838	838
NBL1	2084	2085	2166	3281
HTR6	3388	3388	3388	3388
TMCO4	2997	2972	3350	3469
RNF186	1250	1250	1250	1250
OTUD3	3604	3526	6515	7246
PLA2G2E	487	487	487	487
PLA2G2A	945	946	1000	1032
PLA2G5	1805	1811	2180	2752
PLA2G2D	1916	1916	1970	1970
PLA2G2F	1620	1620	2719	2852
PLA2G2C	453	453	453	453
UBXN10-AS1	510	510	510	510
UBXN10	4610	4610	6248	6317
VWA5B1	4175	4175	4475	4781
LINC01141	3783	3783	3783	3783
CAMK2N1	2351	2351	2351	2351
MUL1	2458	2458	2458	2458
FAM43B	2582	2582	2582	2582
CDA	960	960	960	960
PINK1	2660	2660	2660	2660
MIR6084	65	65	110	110
PINK1-AS	4443	4443	4443	4443
DDOST	2126	2126	2126	2126
KIF17	3551	3635	4098	4131
SH2D5	3769	3769	3834	3834
HP1BP3	3540	3961	4362	5945
EIF4G3	5280	6203	6515	6973
MIR1256	70	70	119	119
ECE1	5159	5136	5241	6008
RP5-1071N3.1	2574	2574	2574	2574
NBPF3	3888	3814	4343	4418
ALPL	2308	2494	2596	3027
RAP1GAP	3215	3408	3737	4154
USP48	3418	3362	4465	5269
LDLRAD2	2586	2421	4012	4602
HSPG2	14190	14288	14817	14900
LOC102723558	160	160	160	160
CELA3B	1003	1003	1003	1003
CELA3A	907	907	907	907
RP1-224A6.3	698	698	698	698
LINC00339	1130	1106	1206	1388
CDC42	1991	2168	2294	3155
WNT4	3857	3857	3905	3990
MIR4418	40	40	62	62
LOC101060363	504	504	504	504
ZBTB40	8848	8848	8992	8992
EPHA8	3425	3425	4996	5411
MIR6127	64	64	109	109
C1QA	1098	1098	1098	1098
C1QC	1179	1179	1191	1191
C1QB	1111	1111	1178	1293
EPHB2	4057	4078	4869	5031
MIR4684	42	22	82	82
MIR4253	43	43	68	68
LACTBL1	1989	1989	1989	1989
C1orf234	510	510	510	510
KDM1A	3123	3102	3327	3853
MIR3115	44	44	68	68
MIR4419A	47	47	77	77
LUZP1	8454	8454	8487	8487
HTR1D	2835	2835	2835	2835
RP5-1057J7.6	4420	4420	4420	4420
HNRNPR	2737	2736	2927	3050
ZNF436	4404	4404	4493	4814
C1orf213	1781	1781	2869	2869
TCEA3	1672	1726	1880	2558
ASAP3	4100	4102	4129	4158
E2F2	4562	4265	5193	5310
LOC101928163	1837	1837	1837	1837
ID3	1239	1239	1239	1239
MDS2	1027	1027	1027	1027
RPL11	632	632	634	634
TCEB3	4943	4943	4943	4943
RP5-886K2.3	1084	1084	1084	1084
PITHD1	1629	1629	1637	1639
LYPLA2	1693	1693	1762	1762
GALE	1601	1607	1631	1858
HMGCL	1501	1501	1608	1608
FUCA1	2169	2169	2217	2296
CNR2	2881	2196	5357	5486
MIR378F	49	49	78	78
PNRC2	2417	2417	2417	2417
SRSF10	2255	2211	3212	5122
MYOM3	5800	5800	5800	5800
IL22RA1	2962	2962	2962	2962
IFNLR1	4463	4454	4563	4604
RP11-10N16.2	1846	1846	1846	1846
GRHL3	2648	2752	2869	3424
STPG1	2750	2768	2876	3193
NIPAL3	4405	5214	5426	5766
RCAN3AS	384	388	429	429
RCAN3	2536	2551	2782	3030
LOC100506985	973	973	973	973
NCMAP	2879	2879	3991	4146
SRRM1	3363	3877	3934	4014
CLIC4	4434	4434	4434	4434
RUNX3	4176	4183	4340	4863
MIR6731	38	22	72	72
MIR4425	53	53	84	84
SYF2	1714	1714	1777	1777
C1orf63	1613	1500	2126	2355
RHD	2760	2798	2933	3007
LOC101928189	491	491	584	771
TMEM50A	2237	2237	2302	2302
RHCE	1532	1432	2326	2752
TMEM57	3088	3298	3979	4043
LDLRAP1	2038	1944	4225	5707
MAN1C1	3666	4460	4641	4641
SEPN1	4281	4281	4332	4332
LOC102723671	393	393	393	393
MTFR1L	2015	2031	2103	2403
LOC646471	3653	3653	3653	3653
AUNIP	1777	1777	2162	2408
PAQR7	2806	2904	3023	3522
STMN1	1745	1620	2238	3602
MIR3917	56	56	93	93
PAFAH2	3468	3528	3654	3784
EXTL1	3265	3312	4015	4445
LOC101928216	480	480	480	480
SLC30A2	2399	2399	2473	2473
TRIM63	1771	1771	1771	1771
PDIK1L	4217	4270	4409	4600
FAM110D	1484	1484	1524	1552
ZNF593	649	649	649	649
CNKSR1	2708	2546	3293	3481
CATSPER4	1419	1419	1419	1419
LOC101928303	883	883	1115	1115
CEP85	3807	3991	4214	4612
SH3BGRL3	1115	1115	1115	1115
UBXN11	1689	1848	1853	2072
CD52	505	505	505	505
AIM1L	5235	5235	5245	5245
ZNF683	1727	1717	1858	2293
LIN28A	3658	3494	4014	4014
DHDDS	3090	3279	3377	3517
RP3-476K8.3	1581	1581	1581	1581
HMGN2	1969	1969	1969	1969
RPS6KA1	3120	3122	3199	3652
MIR1976	36	36	52	52
LOC101928728	3897	3897	3897	3897
ARID1A	8259	8259	8585	8585
PIGV	2567	2567	2730	2955
ZDHHC18	3139	3139	3139	3139
SFN	1315	1315	1315	1315
GPN2	1510	1510	1510	1510
GPATCH3	2129	2129	2129	2129
NR0B2	1271	1271	1271	1271
NUDC	1813	1813	1813	1813
C1orf172	1820	1820	1838	1905
OSTCP2	496	496	496	496
TRNP1	1846	1846	1949	1973
FAM46B	2374	2374	2374	2374
LOC101928391	307	307	307	307
SLC9A1	4511	4511	4742	4742
LOC102723760	154	154	154	154
WDTC1	4817	4817	4819	4819
TMEM222	1449	1658	1855	2474
LOC644961	2652	2652	2652	2652
RNU6-48P	107	107	107	107
SYTL1	2025	2084	2274	2696
MAP3K6	3986	4328	4464	4573
FCN3	1015	1015	1032	1032
CD164L2	1065	951	1539	1557
GPR3	2115	2115	2115	2115
WASF2	5423	5423	5681	5681
AHDC1	6414	6474	6599	7076
FGR	2440	2435	2486	2897
IFI6	848	848	860	860
FAM76A	3318	3360	3462	3462
STX12	3079	3079	3079	3079
PPP1R8	2561	2604	2659	2852
SCARNA1	166	166	166	166
THEMIS2	2094	2277	2724	2724
RPA2	1774	1806	1957	1957
SMPDL3B	1733	1733	1873	2271
XKR8	2158	2158	2158	2158
EYA3	4284	4367	6026	6303
PTAFR	4216	4219	4318	4533
DNAJC8	1765	1765	1765	1765
ATPIF1	1027	617	1925	1925
SESN2	3528	3528	3528	3528
MED18	1821	1813	1869	1962
PHACTR4	4548	4536	6211	6961
SNHG3	2292	2292	2346	2346
RCC1	2698	2674	2858	3027
SNORA73A	207	207	207	207
RNU105A	158	158	158	158
TRNAU1AP	1941	1941	2015	2015
SNHG12	739	739	739	739
SNORD99	80	80	80	80
SNORA61	130	130	130	130
SNORA44	132	132	132	132
SNORA16A	134	134	134	134
RAB42	1118	1118	1143	1343
TAF12	1151	1088	1451	1579
RNU11	135	135	135	135
GMEB1	2677	2677	2694	2694
YTHDF2	2868	2826	3060	3063
OPRD1	1774	1774	1774	1774
EPB41	5577	5956	6512	7403
TMEM200B	2520	2520	2562	2616
SRSF4	3067	2892	3780	3913
MECR	1815	1636	2666	2894
PTPRU	5426	5576	5622	5785
RP3-437I16.1	2148	2148	2148	2148
RP11-111I12.1	1519	1519	1519	1519
MATN1	3830	3830	3830	3830
MATN1-AS1	2050	2050	2050	2050
LAPTM5	2240	2240	2240	2240
MIR4420	49	49	77	77
LOC400748	1747	1747	1747	1747
LOC102723832	56	56	56	56
SDC3	5121	5121	5121	5121
PUM1	5382	5382	5385	5385
SNORD103A	88	88	88	88
SNORD103B	88	88	88	88
SNORD85	75	75	75	75
LOC102723848	52	52	52	52
NKAIN1	2922	2922	2922	2922
SNRNP40	1624	1624	1624	1624
ZCCHC17	1588	1563	2607	2712
FABP3	1097	1097	1097	1097
SERINC2	2218	2072	2810	3549
RP11-439L8.3	2113	2113	2113	2113
RP11-439L8.4	2741	2741	2741	2741
TINAGL1	2045	2116	2237	2284
HCRTR1	1852	1852	2001	2412
PEF1	1825	1820	1979	2217
COL16A1	5431	5431	5584	5584
LOC101929444	505	505	505	505
BAI2	5029	4993	5415	5421
MIR4254	49	49	76	76
SPOCD1	3450	3775	3962	3962
PTP4A2	2942	3435	3929	4263
KHDRBS1	2782	2833	2975	3732
TMEM39B	1910	1818	2539	3449
MIR5585	34	22	59	59
KPNA6	6680	6680	7373	7475
TXLNA	4482	4644	4796	5171
CCDC28B	1143	892	1662	1665
IQCC	2173	2173	2293	2293
DCDC2B	1349	1349	1349	1349
TMEM234	2001	2013	2936	3093
EIF3I	1458	1458	1458	1458
MTMR9LP	2324	2324	2324	2324
FAM167B	956	956	956	956
LCK	2178	2117	2291	2505
HDAC1	2091	2091	2091	2091
MARCKSL1	1449	1449	1562	1562
FAM229A	699	699	699	699
TSSK3	1317	1317	1317	1317
BSDC1	2877	2775	4682	4702
ZBTB8B	4019	4019	4019	4019
ZBTB8A	7333	7333	7333	7333
LOC102723870	495	495	495	495
ZBTB8OS	1655	1953	1996	2021
RBBP4	7908	7940	7943	8018
SYNC	3453	3453	3493	3493
KIAA1522	4222	5156	5412	5782
YARS	3117	3117	3117	3117
S100PBP	3505	4180	4359	6793
FNDC5	2615	2732	3030	3195
HPCA	1413	1413	1420	1439
TMEM54	1064	1064	1135	1135
RNF19B	2564	2603	2816	3207
AK2	3427	3659	3821	5771
ADC	1942	1994	2184	2452
TRIM62	3038	3722	3841	4260
ZNF362	3226	3247	3326	3800
A3GALT2	1023	1023	1023	1023
PHC2	2713	2432	4874	7470
MIR3605	48	23	100	100
ZSCAN20	4262	4309	4321	4337
CSMD2	13408	13408	13698	13920
HMGB4	1485	1485	2343	2343
RP5-1007G16.1	1364	1364	1364	1364
C1orf94	2570	2570	3005	3294
MIR552	46	21	96	96
GJB5	1338	1338	1355	1355
GJB4	2840	2840	2840	2840
GJB3	1989	1989	2217	2352
GJA4	1691	1691	1760	1760
SMIM12	4659	5832	6011	6396
DLGAP3	3708	3708	3830	3830
LOC653160	1887	1887	1887	1887
ZMYM6NB	925	925	925	925
ZMYM6	5145	5145	5145	5145
ZMYM1	3647	4055	4469	4682
SFPQ	4673	4422	8870	8875
ZMYM4	6373	6905	7108	7289
KIAA0319L	4511	4621	4812	4933
NCDN	3501	3433	3705	3705
TFAP2E	2140	2140	2189	2327
PSMB2	4446	4376	4744	4846
C1orf216	2934	2934	2934	2934
CLSPN	8388	8388	8484	8484
AGO4	6548	6754	7061	7160
AGO1	9715	9715	11953	12790
AGO3	3349	3387	3831	4118
TEKT2	1667	1667	1826	1891
ADPRHL2	1691	1691	1691	1691
COL8A2	4523	4488	4728	4760
TRAPPC3	1274	1313	1558	1753
MAP7D1	3370	3358	3570	3570
THRAP3	3507	3559	4432	5015
SH3D21	2610	2519	3078	3515
EVA1B	1677	1677	2300	2300
STK40	3741	3672	3894	3909
LSM10	850	850	850	850
OSCP1	1154	1140	1519	1823
MRPS15	965	965	965	965
CSF3R	3314	3407	3490	3563
GRIK3	9219	9219	9219	9219
MIR4255	44	44	72	72
LINC01137	1427	1427	1427	1427
ZC3H12A	2357	2705	3233	4106
MIR6732	34	23	60	60
MEAF6	4152	4818	4907	4967
MIR5581	34	22	60	60
SNIP1	4605	4605	4605	4605
DNALI1	2555	2555	2649	2649
GNL2	2402	2402	2402	2402
RSPO1	2817	2777	3089	3089
C1orf109	2690	2601	3171	3591
CDCA8	2437	2437	2486	2486
EPHA10	2775	1963	5511	6718
MANEAL	2584	2540	2858	3160
YRDC	1836	1836	1836	1836
C1orf122	1251	1251	1318	1318
MTF1	7972	7972	7972	7972
INPP5B	3447	3865	4454	4748
SF3A3	2887	2887	2934	3093
FHL3	1576	1590	1657	1672
UTP11L	2050	2050	2050	2050
POU3F1	2928	2928	2928	2928
MIR3659	60	60	99	99
RP11-214L19.1	2283	2283	2283	2283
RRAGC	2682	2682	2733	2733
GJA9-MYCBP	3497	2672	5271	5271
MYCBP	2535	2535	2565	2565
GJA9	2322	2322	2322	2322
RHBDL2	1837	1837	1837	1837
AKIRIN1	2658	2658	2726	2726
NDUFS5	569	569	571	571
MACF1	22715	24006	24596	27363
KIAA0754	6979	6979	6979	6979
BMP8A	3243	3243	5626	5798
PPIEL	2637	2637	2637	2637
PABPC4	3159	3156	3204	3204
SNORA55	137	137	137	137
HEYL	3792	3792	4114	4299
NT5C1A	1107	1107	1107	1107
HPCAL4	4690	4758	4877	4983
PPIE	2090	1217	4376	4775
BMP8B	2340	2340	3773	3970
OXCT2	1824	1824	1824	1824
LOC101929536	1190	1190	1190	1190
TRIT1	1839	2098	2185	2349
MYCL	2974	3260	3624	4951
MFSD2A	2077	2092	2213	2213
CAP1	2663	2612	2773	2803
PPT1	1987	2205	2504	2726
RLF	6250	6250	6250	6250
TMCO2	741	741	741	741
ZMPSTE24	3165	3165	3165	3165
COL9A2	2861	2831	2980	3142
SMAP2	2592	2503	2930	3315
ZFP69B	2058	2031	2114	2117
ZFP69	2543	2717	2871	3108
EXO5	1908	1863	2217	2465
ZNF684	2097	2097	2097	2097
RIMS3	7229	7229	7229	7229
NFYC-AS1	3182	3182	3182	3182
NFYC	2323	2339	2664	3910
MIR30E	45	22	92	92
MIR30C1	44	23	89	89
KCNQ4	4018	4018	4099	4099
CITED4	1291	1291	1291	1291
CTPS1	2907	2864	3199	3678
SLFNL1-AS1	4800	4800	4800	4800
SLFNL1	2578	2377	4517	4517
SCMH1	2880	3132	3353	4209
LOC102723924	247	247	304	336
FOXO6	2665	2665	2665	2665
LOC101929901	1229	1229	1229	1229
EDN2	1098	1075	1243	1243
HIVEP3	7411	6238	12402	14115
GUCA2B	597	597	597	597
GUCA2A	575	575	575	575
FOXJ3	5191	5158	5352	6037
RIMKLA	5914	5914	10569	10569
ZMYND12	1689	1689	1775	1775
PPCS	1924	1927	2485	3115
CCDC30	3098	3098	3098	3098
PPIH	947	845	1361	1674
YBX1	1506	1506	1546	1556
CLDN19	3326	3517	3602	3602
LEPRE1	2620	2695	3105	3108
C1orf50	957	957	1015	1015
LOC100129924	983	983	983	983
CCDC23	798	798	798	798
ERMAP	3474	3413	3720	3786
ZNF691	1739	1691	1914	1914
LOC339539	2365	2365	2365	2365
SLC2A1	3670	3670	3670	3670
SLC2A1-AS1	1124	1124	1124	1124
FAM183A	580	569	656	822
EBNA1BP2	1445	1445	1504	1642
MIR6733	34	22	61	61
WDR65	3748	3959	4165	5238
TMEM125	1891	1862	2025	2325
C1orf210	1199	1407	1478	1540
TIE1	3723	3899	4114	4523
